time (s),arc1,arc2,arc3,arc4,arc5,arc6,ramp
0.0,1,0,0,0,0,0,0.5
2.7,1,1,0,0,0,0,0.5
5.3,1,1,1,0,0,0,0.5
8.0,1,1,1,1,0,0,0.5
10.7,1,1,1,1,1,0,0.5
13.3,1,1,1,1,1,1,0.5
16.0,0,1,1,1,1,1,0.5
18.7,0,0,1,1,1,1,0.5
21.3,0,0,0,1,1,1,0.5
24.0,0,0,0,0,1,1,0.5
26.7,0,0,0,0,0,1,0.5
29.3,1,0,1,0,0,1,0.5
32.0,0,1,0,1,0,1,0.5
34.7,0,0,1,0,1,1,0.5
37.3,1,0,0,1,0,1,0.5
40.0,0,1,0,0,1,1,0.5
42.7,0,0,1,1,0,1,0.5
45.3,1,0,0,0,1,1,0.5
48.0,0,1,1,0,0,1,0.5
50.7,0,0,0,1,1,1,0.5
53.3,1,1,0,0,0,1,0.5
56.0,0,0,0,1,1,0,0.5
58.7,0,1,1,0,0,0,0.5
61.3,1,0,0,0,1,0,0.5
64.0,0,0,1,1,0,0,0.5
66.7,0,1,0,0,1,0,0.5
69.3,1,0,0,1,0,0,0.5
72.0,0,0,1,0,1,0,0.5
74.7,0,1,0,1,0,0,0.5
77.3,1,0,1,0,0,0,0.5
80.0,1,0,0,0,0,0,0.5
82.7,1,1,0,0,0,0,0.5
85.3,1,1,1,0,0,0,0.5
88.0,1,1,1,1,0,0,0.5
90.7,1,1,1,1,1,0,0.5
93.3,1,1,1,1,1,1,0.5
96.0,0,1,1,1,1,1,0.5
98.7,0,0,1,1,1,1,0.5
101.3,0,0,0,1,1,1,0.5
104.0,0,0,0,0,1,1,0.5
106.7,0,0,0,0,0,1,0.5
109.3,1,0,1,0,0,1,0.5
112.0,0,1,0,1,0,1,0.5
114.7,0,0,1,0,1,1,0.5
117.3,1,0,0,1,0,1,0.5
120.0,0,1,0,0,1,1,0.5
122.7,0,0,1,1,0,1,0.5
125.3,1,0,0,0,1,1,0.5
128.0,0,1,1,0,0,1,0.5
130.7,0,0,0,1,1,1,0.5
133.3,1,1,0,0,0,1,0.5
136.0,0,0,0,1,1,0,0.5
138.7,0,1,1,0,0,0,0.5
141.3,1,0,0,0,1,0,0.5
144.0,0,0,1,1,0,0,0.5
146.7,0,1,0,0,1,0,0.5
149.3,1,0,0,1,0,0,0.5
152.0,0,0,1,0,1,0,0.5
154.7,0,1,0,1,0,0,0.5
157.3,1,0,1,0,0,0,0.5
160.0,1,0,0,0,0,0,0.5
162.7,1,1,0,0,0,0,0.5
165.3,1,1,1,0,0,0,0.5
168.0,1,1,1,1,0,0,0.5
170.7,1,1,1,1,1,0,0.5
173.3,1,1,1,1,1,1,0.5
176.0,0,1,1,1,1,1,0.5
178.7,0,0,1,1,1,1,0.5
181.3,0,0,0,1,1,1,0.5
184.0,0,0,0,0,1,1,0.5
186.7,0,0,0,0,0,1,0.5
189.3,1,0,1,0,0,1,0.5
192.0,0,1,0,1,0,1,0.5
194.7,0,0,1,0,1,1,0.5
197.3,1,0,0,1,0,1,0.5
200.0,0,1,0,0,1,1,0.5
202.7,0,0,1,1,0,1,0.5
205.3,1,0,0,0,1,1,0.5
208.0,0,1,1,0,0,1,0.5
210.7,0,0,0,1,1,1,0.5
213.3,1,1,0,0,0,1,0.5
216.0,0,0,0,1,1,0,0.5
218.7,0,1,1,0,0,0,0.5
221.3,1,0,0,0,1,0,0.5
224.0,0,0,1,1,0,0,0.5
226.7,0,1,0,0,1,0,0.5
229.3,1,0,0,1,0,0,0.5
232.0,0,0,1,0,1,0,0.5
234.7,0,1,0,1,0,0,0.5
